discussion_tier,priority_score,cnae_class,cnae_name,trade_value_usd,import_value_usd,export_value_usd,trade_balance_usd,domestic_production_value_brl_thousand,external_dependency_ratio,transition_relevance,rationale
3 - monitorar,0.18909740766595073,2710,"Fabricação de geradores, transformadores e motores elétricos",2948470079.0,1763628320.0,1184841759.0,-578786561.0,51985169.0,0.1725676498700005,True,relevante para transi??o energ?tica
3 - monitorar,0.18709536670167093,2869,Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente,817672883.951125,686488382.7479539,131184501.20317112,-555303881.5447828,7186801.0,0.3635746276808825,True,depend?ncia externa alta; relevante para transi??o energ?tica
3 - monitorar,0.18671799797862698,2814,Fabricação de compressores,1054931199.3927636,578478167.5871727,476453031.8055909,-102025135.78158182,8521463.0,0.3438389016412878,True,depend?ncia externa alta; relevante para transi??o energ?tica
3 - monitorar,0.18537402278154885,2740,Fabricação de lâmpadas e outros equipamentos de iluminação,337422311.0,316694387.0,20727924.0,-295966463.0,2704096.0,0.3971256516245703,True,depend?ncia externa alta; relevante para transi??o energ?tica
3 - monitorar,0.1850097507110655,2790,Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente,822689999.5575718,597621356.8383034,225068642.71926835,-372552714.1190351,7105740.0,0.3535428352404698,True,depend?ncia externa alta; relevante para transi??o energ?tica
3 - monitorar,0.18232536771553354,2822,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas",1376707056.0090592,1206169508.5766563,170537547.43240285,-1035631961.1442536,17121196.0,0.2864385760792681,True,relevante para transi??o energ?tica
3 - monitorar,0.18037922523811606,2941,Fabricação de peças e acessórios para o sistema motor de veículos automotores,2093308513.6971884,1403255223.4686594,690053290.228529,-713201933.2401304,32100934.0,0.2104897070038865,True,relevante para transi??o energ?tica
3 - monitorar,0.17860931392249196,2821,Fabricação de aparelhos e equipamentos para instalações térmicas,340202723.2020165,247666541.92248315,92536181.2795333,-155130360.64294985,2836836.0,0.3635481590364101,True,depend?ncia externa alta; relevante para transi??o energ?tica
3 - monitorar,0.17536365347239222,2211,Fabricação de pneumáticos e de câmaras-de-ar,1881825625.0,1203707097.0,678118528.0,-525588569.0,28785664.0,0.2052650409743435,True,relevante para transi??o energ?tica
3 - monitorar,0.17487800317937588,2812,"Fabricação de equipamentos hidráulicos e pneumáticos, exceto válvulas",917679140.6998425,748497704.3395574,169181436.36028507,-579316267.9792724,10702017.0,0.2919137344664739,True,relevante para transi??o energ?tica
