year,cnae_class,tsb_associated,tsb_grupo_exposicao,tsb_exposicao_scn67_max,formal_jobs,wage_mass,december_wage_mass
2024,7830,False,Sem exposicao TSB direta,0.0,303846,576878906.36,576878906.36
2024,4721,False,Sem exposicao TSB direta,0.0,274650,520951548.17,520951548.17
2024,1091,False,Sem exposicao TSB direta,0.0,270932,580168475.74,580168475.74
2024,1071,False,Sem exposicao TSB direta,0.0,270492,1071192525.2,1071192525.2
2024,4520,False,Sem exposicao TSB direta,0.0,267126,606490650.99,606490650.99
2024,4399,False,Sem exposicao TSB direta,0.0,260202,702985563.38,702985563.38
2024,8512,False,Sem exposicao TSB direta,0.0,248303,608449060.29,608449060.29
2024,4511,False,Sem exposicao TSB direta,0.0,246020,1153990737.1,1153990737.1
2024,4321,False,Sem exposicao TSB direta,0.0,245056,726402327.9399999,726402327.9399999
2024,1610,False,Sem exposicao TSB direta,0.0,225884,574848554.12,574848554.12
2024,8511,False,Sem exposicao TSB direta,0.0,222815,606603271.57,606603271.57
2024,4639,False,Sem exposicao TSB direta,0.0,216994,620539172.53,620539172.53
2024,4754,False,Sem exposicao TSB direta,0.0,215802,528600528.35,528600528.35
2024,3101,False,Sem exposicao TSB direta,0.0,202018,575906527.67,575906527.67
2024,1156,False,Sem exposicao TSB direta,0.0,199431,710887208.19,710887208.19
2024,4729,False,Sem exposicao TSB direta,0.0,198675,406445351.49,406445351.49
2024,2229,False,Sem exposicao TSB direta,0.0,196896,711276241.72,711276241.72
2024,7020,False,Sem exposicao TSB direta,0.0,194338,1316442379.64,1316442379.64
2024,4211,False,Sem exposicao TSB direta,0.0,190532,701642234.88,701642234.88
2024,3811,False,Sem exposicao TSB direta,0.0,189003,536486105.5,536486105.5
2024,8800,False,Sem exposicao TSB direta,0.0,185538,576884622.88,576884622.88
2024,6201,False,Sem exposicao TSB direta,0.0,185153,1619045173.42,1619045173.42
2024,4221,False,Sem exposicao TSB direta,0.0,184854,685610925.17,685610925.17
2024,8219,False,Sem exposicao TSB direta,0.0,180588,493074149.0,493074149.0
2024,9420,False,Sem exposicao TSB direta,0.0,176915,276753274.2,276753274.2
2024,4691,False,Sem exposicao TSB direta,0.0,175948,447166049.13,447166049.13
2024,6110,False,Sem exposicao TSB direta,0.0,175818,728762767.9,728762767.9
2024,4782,False,Sem exposicao TSB direta,0.0,174481,460540316.46,460540316.46
2024,4330,False,Sem exposicao TSB direta,0.0,168242,353179989.61,353179989.61
2024,2949,False,Sem exposicao TSB direta,0.0,166422,817382838.4399999,817382838.4399999
2024,1011,False,Sem exposicao TSB direta,0.0,165514,475899729.86,475899729.86
2024,4110,False,Sem exposicao TSB direta,0.0,158441,510955461.58,510955461.58
2024,7490,False,Sem exposicao TSB direta,0.0,153385,844076250.0,844076250.0
2024,2222,False,Sem exposicao TSB direta,0.0,152936,557683082.85,557683082.85
2024,6209,False,Sem exposicao TSB direta,0.0,152541,874579009.24,874579009.24
2024,4713,False,Sem exposicao TSB direta,0.0,151207,450239359.44,450239359.44
2024,7319,False,Sem exposicao TSB direta,0.0,150017,358222001.65,358222001.65
2024,4753,False,Sem exposicao TSB direta,0.0,148119,469819816.09,469819816.09
2024,4292,False,Sem exposicao TSB direta,0.0,147008,516106549.48,516106549.48
2024,7810,False,Sem exposicao TSB direta,0.0,146424,321033522.1,321033522.1
2024,9313,False,Sem exposicao TSB direta,0.0,146196,252939480.18,252939480.18
2024,4772,False,Sem exposicao TSB direta,0.0,137246,365949632.96,365949632.96
2024,3314,False,Sem exposicao TSB direta,0.0,136155,474189753.12,474189753.12
2024,1531,False,Sem exposicao TSB direta,0.0,131196,311300691.43,311300691.43
2024,2330,False,Sem exposicao TSB direta,0.0,130003,364622396.53000003,364622396.53000003
2024,1113,False,Sem exposicao TSB direta,0.0,129964,530774302.31,530774302.31
2024,6550,False,Sem exposicao TSB direta,0.0,125583,592805705.32,592805705.32
2024,6204,False,Sem exposicao TSB direta,0.0,125332,1030308145.1899999,1030308145.1899999
2024,4322,False,Sem exposicao TSB direta,0.0,125116,344441738.15,344441738.15
2024,6424,False,Sem exposicao TSB direta,0.0,122386,755727597.79,755727597.79
2024,5211,False,Sem exposicao TSB direta,0.0,120950,411797661.46999997,411797661.46999997
2024,4299,False,Sem exposicao TSB direta,0.0,119788,415946898.58,415946898.58
2024,1555,False,Sem exposicao TSB direta,0.0,119163,293516615.0,293516615.0
2024,1130,False,Sem exposicao TSB direta,0.0,118802,380876674.31,380876674.31
2024,4635,False,Sem exposicao TSB direta,0.0,117373,419823617.03000003,419823617.03000003
2024,9491,False,Sem exposicao TSB direta,0.0,115975,289653363.24,289653363.24
2024,6911,False,Sem exposicao TSB direta,0.0,114294,449485996.71,449485996.71
2024,2599,False,Sem exposicao TSB direta,0.0,113482,426584568.47,426584568.47
2024,1099,False,Sem exposicao TSB direta,0.0,110278,400587543.53000003,400587543.53000003
