cnae_key,cnae_class,tsb_associated,tsb_cnae5_count,tsb_cnae5_list,tsb_scn67_list,tsb_setor_scn67_list,tsb_exposicao_scn67_max,tsb_grupo_exposicao,tsb_leitura_tecnica
191,2651,False,0,,,,0.0,Sem exposicao TSB direta,
192,2652,False,0,,,,0.0,Sem exposicao TSB direta,
193,2660,False,0,,,,0.0,Sem exposicao TSB direta,
194,2670,False,0,,,,0.0,Sem exposicao TSB direta,
195,2680,False,0,,,,0.0,Sem exposicao TSB direta,
196,2710,False,0,,,,0.0,Sem exposicao TSB direta,
197,2721,False,0,,,,0.0,Sem exposicao TSB direta,
198,2722,False,0,,,,0.0,Sem exposicao TSB direta,
199,2731,False,0,,,,0.0,Sem exposicao TSB direta,
200,2732,False,0,,,,0.0,Sem exposicao TSB direta,
201,2733,False,0,,,,0.0,Sem exposicao TSB direta,
202,2740,False,0,,,,0.0,Sem exposicao TSB direta,
203,2751,False,0,,,,0.0,Sem exposicao TSB direta,
204,2759,False,0,,,,0.0,Sem exposicao TSB direta,
205,2790,False,0,,,,0.0,Sem exposicao TSB direta,
206,2811,False,0,,,,0.0,Sem exposicao TSB direta,
207,2812,False,0,,,,0.0,Sem exposicao TSB direta,
208,2813,False,0,,,,0.0,Sem exposicao TSB direta,
209,2814,False,0,,,,0.0,Sem exposicao TSB direta,
210,2815,False,0,,,,0.0,Sem exposicao TSB direta,
211,2821,False,0,,,,0.0,Sem exposicao TSB direta,
212,2822,False,0,,,,0.0,Sem exposicao TSB direta,
213,2823,False,0,,,,0.0,Sem exposicao TSB direta,
214,2824,False,0,,,,0.0,Sem exposicao TSB direta,
215,2825,False,0,,,,0.0,Sem exposicao TSB direta,
216,2829,False,0,,,,0.0,Sem exposicao TSB direta,
217,2831,False,0,,,,0.0,Sem exposicao TSB direta,
218,2832,False,0,,,,0.0,Sem exposicao TSB direta,
219,2833,False,0,,,,0.0,Sem exposicao TSB direta,
220,2840,False,0,,,,0.0,Sem exposicao TSB direta,
221,2851,False,0,,,,0.0,Sem exposicao TSB direta,
222,2852,False,0,,,,0.0,Sem exposicao TSB direta,
223,2853,False,0,,,,0.0,Sem exposicao TSB direta,
224,2854,False,0,,,,0.0,Sem exposicao TSB direta,
225,2861,False,0,,,,0.0,Sem exposicao TSB direta,
226,2862,False,0,,,,0.0,Sem exposicao TSB direta,
227,2863,False,0,,,,0.0,Sem exposicao TSB direta,
228,2864,False,0,,,,0.0,Sem exposicao TSB direta,
229,2865,False,0,,,,0.0,Sem exposicao TSB direta,
230,2866,False,0,,,,0.0,Sem exposicao TSB direta,
231,2869,False,0,,,,0.0,Sem exposicao TSB direta,
232,2910,False,0,,,,0.0,Sem exposicao TSB direta,
233,2920,False,0,,,,0.0,Sem exposicao TSB direta,
234,2930,False,0,,,,0.0,Sem exposicao TSB direta,
235,2941,False,0,,,,0.0,Sem exposicao TSB direta,
236,2942,False,0,,,,0.0,Sem exposicao TSB direta,
237,2943,False,0,,,,0.0,Sem exposicao TSB direta,
238,2944,False,0,,,,0.0,Sem exposicao TSB direta,
239,2945,False,0,,,,0.0,Sem exposicao TSB direta,
240,2949,False,0,,,,0.0,Sem exposicao TSB direta,
241,2950,False,0,,,,0.0,Sem exposicao TSB direta,
242,3011,False,0,,,,0.0,Sem exposicao TSB direta,
243,3012,False,0,,,,0.0,Sem exposicao TSB direta,
244,3031,False,0,,,,0.0,Sem exposicao TSB direta,
245,3032,False,0,,,,0.0,Sem exposicao TSB direta,
246,3041,False,0,,,,0.0,Sem exposicao TSB direta,
247,3042,False,0,,,,0.0,Sem exposicao TSB direta,
248,3050,False,0,,,,0.0,Sem exposicao TSB direta,
249,3091,False,0,,,,0.0,Sem exposicao TSB direta,
250,3092,False,0,,,,0.0,Sem exposicao TSB direta,
251,3099,False,0,,,,0.0,Sem exposicao TSB direta,
252,3101,False,0,,,,0.0,Sem exposicao TSB direta,
253,3102,False,0,,,,0.0,Sem exposicao TSB direta,
254,3103,False,0,,,,0.0,Sem exposicao TSB direta,
255,3104,False,0,,,,0.0,Sem exposicao TSB direta,
256,3211,False,0,,,,0.0,Sem exposicao TSB direta,
257,3212,False,0,,,,0.0,Sem exposicao TSB direta,
258,3220,False,0,,,,0.0,Sem exposicao TSB direta,
259,3230,False,0,,,,0.0,Sem exposicao TSB direta,
260,3240,False,0,,,,0.0,Sem exposicao TSB direta,
261,3250,False,0,,,,0.0,Sem exposicao TSB direta,
262,3291,False,0,,,,0.0,Sem exposicao TSB direta,
263,3292,False,0,,,,0.0,Sem exposicao TSB direta,
264,3299,False,0,,,,0.0,Sem exposicao TSB direta,
265,3311,False,0,,,,0.0,Sem exposicao TSB direta,
266,3312,False,0,,,,0.0,Sem exposicao TSB direta,
